id,edad,ingreso_anual,sesiones_web_mes,gasto_promedio_mensual,antiguedad_dias,ratio_endeudamiento,distancia_sucursal_km,indice_digital,compra_premium,cluster_referencia
64,38.0,37149.46,7.0,2203.26,799.0,0.732,1.76,0.808,1,1
23,28.0,15982.02,3.0,1703.03,111.0,0.159,19.51,0.622,1,0
305,41.0,18279.1,9.0,2549.27,279.0,0.371,4.58,,0,2
176,20.0,32870.6,7.0,2540.8,158.0,0.144,6.46,0.598,1,0
245,18.0,28645.96,4.0,2322.62,130.0,0.41,2.28,0.672,0,0
209,28.0,16640.37,8.0,1606.8,162.0,0.019,3.7,1.0,1,0
31,42.0,24240.75,6.0,2693.19,225.0,,13.68,0.451,0,1
272,46.0,73854.63,11.0,4544.24,391.0,0.667,8.94,0.911,1,2
110,32.0,12000.0,1.0,2022.17,268.0,0.387,5.26,0.732,0,0
348,36.0,22294.57,4.0,1938.43,164.0,0.191,5.29,0.481,0,0
91,39.0,26468.58,8.0,1830.42,72.0,0.173,2.09,0.587,1,0
57,31.0,33383.34,3.0,2692.28,166.0,0.509,1.13,0.29,0,0
6,32.0,21494.82,1.0,2250.81,197.0,0.442,12.05,0.681,0,0
46,42.0,23892.76,5.0,2574.99,586.0,,0.94,0.941,1,1
232,29.0,20354.99,4.0,2257.66,698.0,0.673,0.39,1.0,1,1
346,35.0,41974.31,2.0,3171.84,293.0,0.232,2.76,0.41,1,1
286,20.0,26101.43,4.0,1676.68,250.0,0.214,9.34,0.5,0,0
301,33.0,29513.13,4.0,2251.6,162.0,0.581,11.05,0.258,0,0
178,27.0,45682.3,8.0,3173.7,252.0,0.494,9.14,0.608,1,1
341,50.0,18303.74,4.0,1670.41,561.0,0.256,16.39,0.644,0,1
94,30.0,34984.8,3.0,2215.53,430.0,0.509,15.74,0.819,1,1
4,21.0,25016.09,8.0,1976.7,1006.0,0.294,1.41,1.0,1,1
204,33.0,45324.5,5.0,2925.96,457.0,0.434,15.5,,1,2
78,22.0,21469.2,2.0,1582.87,106.0,0.204,59.26,0.337,0,0
239,23.0,88178.6,3.0,4517.73,715.0,0.789,6.6,0.416,1,1
259,42.0,33386.37,6.0,2514.23,237.0,0.564,10.16,0.444,0,1
79,40.0,32484.26,7.0,2714.96,440.0,0.476,5.24,0.655,0,1
47,33.0,30331.19,3.0,2033.16,275.0,0.788,6.91,0.944,1,0
292,26.0,12000.0,4.0,1458.9,134.0,0.274,36.87,0.67,0,0
74,36.0,59664.1,3.0,3901.12,79.0,0.821,5.19,0.965,1,2
226,22.0,25604.04,5.0,1683.94,284.0,0.362,19.72,0.596,0,0
125,20.0,21682.38,4.0,1837.4,48.0,0.35,4.04,0.799,0,0
247,38.0,36893.65,11.0,2773.39,189.0,0.33,24.17,0.958,1,1
83,33.0,23786.88,8.0,1665.72,134.0,0.194,1.09,0.541,1,0
95,51.0,40750.09,9.0,3390.75,191.0,0.773,18.9,0.737,1,2
194,34.0,31426.18,4.0,2292.91,391.0,0.164,7.6,0.237,0,1
310,24.0,25807.62,7.0,2082.39,265.0,0.062,2.59,0.833,1,0
297,33.0,40526.46,4.0,3476.39,760.0,0.449,3.6,0.909,1,2
350,47.0,12000.0,7.0,2124.01,433.0,0.323,8.0,0.953,1,1
308,22.0,24575.44,2.0,1484.08,164.0,0.133,17.7,0.663,0,0
76,42.0,38856.7,7.0,3129.55,,0.652,9.09,0.784,0,2
85,30.0,22209.94,6.0,1210.29,38.0,0.124,7.16,0.66,1,0
357,18.0,17034.05,2.0,1526.16,148.0,0.11,49.87,0.192,0,0
17,34.0,24080.03,3.0,2077.34,67.0,0.395,5.2,0.689,1,0
67,23.0,12000.0,2.0,1406.37,505.0,0.998893565351981,0.2,0.583,0,0
325,38.0,26785.7,7.0,3216.29,325.0,0.457,6.93,0.85,1,2
8,39.0,49676.78,11.0,3043.37,497.0,0.649,6.48,0.373,0,2
114,40.0,118725.8,7.0,15034.287795725872,758.0,0.717,10.45,0.498,1,2
117,43.0,24679.77,8.0,2370.69,196.0,0.44,13.08,0.72,1,2
327,23.0,27776.04,8.0,2086.49,145.0,0.432,24.26,0.425,0,1
322,54.0,49963.68,10.0,4102.86,585.0,0.616,2.19,0.829,1,2
219,43.0,30986.76,5.0,2662.37,828.0,0.537,7.13,0.508,0,1
279,46.0,58872.79,6.0,3833.21,322.0,0.894,0.2,1.0,1,2
111,18.0,14198.01,4.0,1968.43,97.0,0.4,7.89,0.247,0,0
276,33.0,30760.11,5.0,2378.42,442.0,0.261,1.47,0.717,1,1
61,38.0,20599.98,5.0,2074.09,639.0,0.744,2.53,0.962,0,1
288,33.0,,6.0,1946.41,269.0,0.367,12.13,0.5,0,1
317,33.0,36548.49,8.0,2345.82,718.0,0.408,6.36,0.447,1,1
133,30.0,29138.47,5.0,2322.12,9.0,0.052,7.49,0.762,1,0
224,32.0,23754.67,6.0,2186.29,116.0,0.847,6.77,0.548,0,1
141,42.0,43091.84,9.0,3586.19,139.0,0.305,0.43,0.763,1,2
18,41.0,26503.65,5.0,2516.51,365.0,0.365,7.84,0.679,0,1
353,28.0,18020.6,12.0,1936.66,450.0,0.726,15.73,0.22,0,1
25,46.0,25216.66,10.0,2247.37,547.0,0.373,13.5,1.0,1,1
200,37.0,49200.98,8.0,3560.49,558.0,0.496,5.59,,1,2
324,42.0,42110.51,2.0,2239.09,422.0,0.347,31.66,0.383,0,0
360,49.0,42876.76,9.0,2760.13,393.0,0.278,10.99,0.472,1,1
358,26.0,36594.83,6.0,2526.58,201.0,0.808,4.84,0.549,0,1
140,57.0,19912.34,12.0,2636.5,571.0,0.449,11.9,0.812,0,2
164,41.0,24609.12,5.0,2324.91,401.0,0.257,23.45,0.665,1,1
235,32.0,17449.65,5.0,1257.22,138.0,0.084,0.65,0.447,0,0
364,33.0,40526.46,4.0,3476.39,760.0,0.449,3.6,0.909,1,2
211,37.0,21230.11,4.0,2152.76,132.0,0.648,2.31,0.691,0,1
263,18.0,24004.45,5.0,1573.15,211.0,0.433,1.65,0.894,1,0
302,53.0,27048.07,4.0,2175.99,154.0,0.406,0.63,0.607,1,1
193,56.0,35753.08,6.0,2607.66,999.0,0.285,0.65,0.732,1,2
159,31.0,33598.2,2.0,2287.67,348.0,0.049,6.23,0.452,0,0
20,24.0,17221.49,4.0,1879.47,173.0,0.257,18.74,0.0,0,0
149,19.0,26724.29,6.0,1928.89,398.0,0.537,14.85,0.512,0,0
80,39.0,12000.0,6.0,1316.03,211.0,0.072,4.07,0.581,0,0
234,42.0,63421.05,11.0,2974.81,300.0,0.627,3.05,0.703,1,1
19,30.0,21847.73,6.0,2640.87,164.0,0.156,0.76,,0,1
283,45.0,48424.98,4.0,3626.9,520.0,0.596,0.2,1.0,1,1
105,47.0,39499.57,5.0,3300.18,778.0,0.635,2.71,1.0,1,2
285,21.0,21993.12,7.0,1946.83,148.0,0.671,4.46,0.553,0,1
119,32.0,28028.1,13.0,2789.78,312.0,0.57,6.4,0.835,1,2
32,34.0,18636.02,0.0,2224.99,,0.247,5.72,0.548,0,0
37,30.0,33558.83,3.0,2301.41,242.0,0.342,9.45,0.551,0,0
158,44.0,36805.05,4.0,2993.92,648.0,0.81,9.02,0.815,0,2
183,43.0,29718.47,5.0,2510.55,787.0,0.362,12.16,0.751,1,2
168,20.0,14726.84,2.0,1834.8,474.0,0.209,2.08,0.649,1,0
303,37.0,64924.91,5.0,3770.21,311.0,0.302,5.33,0.659,1,1
199,43.0,35516.1,11.0,3260.64,533.0,0.675,25.36,0.78,1,2
174,22.0,12000.0,7.0,1656.29,46.0,0.098,28.82,0.502,0,0
335,29.0,17970.06,7.0,1515.17,341.0,0.193,5.67,0.253,0,0
60,30.0,35314.68,2.0,1811.14,452.0,0.213,7.39,0.491,0,0
112,42.0,35388.38,3.0,2117.01,496.0,0.434,8.39,0.497,0,0
146,33.0,27082.17,2.0,1667.01,487.0,0.23,13.033004717800354,0.417,1,0
7,30.0,19852.39,6.0,1654.0,360.0,0.659,3.5,0.856,0,0
267,39.0,,6.0,2472.81,52.0,0.46,14.54,0.648,0,1
249,49.0,52534.06,12.0,3414.99,200.0,0.716,4.25,1.0,1,2
11,24.0,,4.0,1484.52,308.0,0.197,3.19,0.845,1,0
223,23.0,16718.06,9.0,1816.35,203.0,0.205,5.81,0.724,0,0
104,37.0,20402.55,5.0,2303.07,581.0,0.363,5.62,0.599,0,1
82,39.0,,10.0,2773.38,452.0,0.301,3.63,0.588,0,1
182,30.0,18708.3,5.0,1763.26,,0.168,28.69,0.608,0,0
210,39.0,17154.83,0.0,1417.69,54.0,0.169,17.49,0.6,0,0
184,42.0,69844.25,8.0,4320.61,,0.26,0.2,0.859,1,2
290,49.0,65941.33,3.0,3585.46,612.0,0.411,7.58,0.722,1,1
250,32.0,45627.84,7.0,3573.83,687.0,0.897,21.79,0.36,0,2
169,28.0,20249.95,4.0,1803.82,343.0,0.524,41.31,0.973,1,0
148,23.0,13394.07,2.0,2026.56,,0.392,19.63,0.423,0,1
273,47.0,34791.1,6.0,2974.07,291.0,0.731,0.38,0.649,1,2
93,60.0,57706.21,10.0,3485.24,466.0,0.373,2.69,0.962,1,2
70,55.0,34768.92,8.0,3080.35,496.0,0.502,1.5,0.817,1,2
248,37.0,59809.31,2.0,3696.86,496.0,0.424,7.64,0.636,0,2
97,52.0,59842.03,7.0,3256.97,458.0,0.248,2.64,,1,1
144,38.0,35823.21,3.0,2007.69,47.0,0.287,7.78,0.348,0,0
281,51.0,38554.82,2.0,3064.51,368.0,0.321,5.14,0.765,1,2
98,30.0,44643.61,1.0,2906.37,570.0,0.477,21.31,0.775,1,1
304,38.0,17473.87,9.0,1764.51,468.0,0.646,7.91,0.906,0,1
69,30.0,24220.58,5.0,1830.94,122.0,0.419,33.45,0.704,0,0
24,37.0,29670.06,7.0,2450.46,280.0,0.889,8.25,0.625,0,1
38,27.0,39034.45,6.0,2402.57,,0.246,13.0,0.405,0,0
145,21.0,32056.81,3.0,1654.32,215.0,0.387,5.122253693132351,0.446,0,0
123,25.0,,4.0,2471.15,867.0,0.371,4.57,0.264,0,0
68,42.0,77917.46,5.0,4966.24,580.0,0.424,2.18,0.715,1,2
195,32.0,176171.542205346,2.0,2914.2,153.0,0.089,4.34,0.304,0,0
363,41.0,26718.38,6.0,2965.46,134.0,0.666,25.67,0.694,0,2
367,30.0,29138.47,5.0,2322.12,9.0,0.052,7.49,0.762,1,0
173,32.0,44996.05,6.0,2374.48,203.0,0.232,0.89,0.9,1,1
126,35.0,62746.64,4.0,3228.55,320.0,0.468,32.6,0.589,0,1
147,44.0,27403.48,1.0,1855.05,612.0,0.108,26.96,0.361,0,1
291,30.0,12000.0,8.0,951.1,588.0,0.218,6.12,0.606,0,0
87,45.0,28484.29,5.0,2945.25,517.0,0.648,6.79,1.0,1,2
311,40.0,16103.75,2.0,1693.37,294.0,0.509,7.69,0.508,0,1
181,23.0,61976.1,5.0,3505.7,273.0,0.503,32.17,0.615,1,0
312,31.0,,5.0,2195.97,165.0,0.193,32.77,0.107,0,0
177,32.0,29349.41,5.0,2296.08,239.0,0.262,5.96,0.693,1,1
293,50.0,44267.52,9.0,2916.32,574.0,0.429,8.22,0.911,0,2
246,44.0,30894.04,14.0,2775.91,238.0,0.746,3.82,0.799,0,2
262,55.0,64556.97,10.0,3481.29,908.0,0.632,4.46,0.915,1,2
186,42.0,22352.94,4.0,2012.15,295.0,0.427,9.89,0.786,0,1
278,33.0,30863.84,10.0,1866.36,653.0,,21.41,0.522,0,1
130,28.0,21958.07,11.0,1924.25,175.0,0.446,0.59,0.804,1,1
39,37.0,,8.0,2747.9,677.0,0.701,23.36,0.723,0,1
12,50.0,22071.96,7.0,2516.73,261.0,0.498,15.98,,0,2
321,43.0,30897.62,1.0,2573.26,352.0,0.378,2.75,0.641,1,1
196,30.0,14055.1,3.0,1161.18,214.0,0.33,5.99,0.351,0,0
113,53.0,23689.1,9.0,3137.73,222.0,0.309,3.04,0.771,1,2
180,28.0,41531.45,5.0,2404.89,125.0,1.2901386993470934,3.09,0.576,0,0
240,32.0,17345.86,2.0,1634.96,241.0,0.105,6.46,0.616,1,0
295,30.0,13911.14,3.0,1989.49,352.0,0.491,1.62,0.241,0,0
118,37.0,30186.18,5.0,2235.01,451.0,0.634,22.81,0.594,0,0
340,32.0,,5.0,2393.81,366.0,0.443,3.46,0.463,0,0
355,34.0,49461.95,6.0,3029.03,36.0,0.302,8.16,0.926,1,0
266,42.0,50808.25,8.0,3415.53,691.0,0.643,3.05,1.0,1,2
334,29.0,12000.0,6.0,1380.51,,0.1,5.18,0.367,0,0
165,31.0,24342.04,5.0,1658.78,98.0,0.489,2.04,,0,0
221,26.0,56748.09,5.0,3248.67,765.0,0.434,23.1,0.372,0,1
343,40.0,84060.05350610717,2.0,1520.88,440.0,0.383,2.55,0.678,1,0
155,56.0,35674.81,6.0,2943.52,552.0,0.381,13.33,1.0,1,2
198,52.0,32981.6,12.0,2650.59,533.0,,6.9,0.85,1,2
352,41.0,26718.38,6.0,2965.46,134.0,0.666,25.67,0.694,0,2
3,60.0,32513.66,4.0,2605.06,771.0,0.18,0.52,0.55,0,2
116,54.0,39465.27,10.0,3229.67,1334.0,0.408,22.34,0.947,1,2
315,42.0,42371.29,14.0,2961.32,647.0,0.558,2.89,0.985,1,2
298,37.0,17088.56,4.0,1698.25,120.0,0.488,12.96,,0,0
254,28.0,29493.33,3.0,2341.39,77.0,0.201,11.47,0.503,0,0
121,44.0,114925.35,11.0,5676.76,988.0,0.629,2.89,0.663,1,2
284,25.0,12000.0,4.0,2005.43,62.0,0.724,20.54,0.658,0,0
212,30.0,48293.75,5.0,3044.72,323.0,0.224,3.88,0.66,1,1
318,31.0,26942.73,5.0,1848.67,268.0,0.246,2.05,0.723,0,0
128,48.0,82092.49,7.0,3890.38,455.0,0.299,0.83,0.921,1,2
75,44.0,38231.02,5.0,3573.24,396.0,0.345,41.72,,0,2
299,39.0,15896.64,8.0,2444.07,118.0,0.208,6.36,0.408,0,1
30,36.0,12000.0,4.0,1166.3,,0.326,10.16,0.567,0,0
84,25.0,20276.29,2.0,1744.73,356.0,0.081,0.2,0.325,0,0
306,38.0,26599.33,4.0,7160.743018672813,899.0,0.574,11.05,0.865,1,2
108,40.0,19283.45,10.0,2416.51,361.0,0.427,36.29,0.57,0,2
351,35.0,25305.33,6.0,2421.9,,0.632,16.97,0.854,0,1
225,24.0,25050.26,9.0,2063.74,143.0,0.493,27.19,0.207,0,0
134,22.0,12000.0,6.0,1245.67,383.0,0.727,6.81,0.923,0,0
185,33.0,44837.83,6.0,2635.25,205.0,0.427,4.75,0.499,1,0
269,37.0,24624.56,5.0,2461.28,174.0,0.382,3.71,0.438,0,1
45,37.0,19768.67,2.0,1305.97,253.0,0.783,6.44,0.481,0,0
339,30.0,40279.99,7.0,3174.8,76.0,,2.33,0.42,1,1
66,25.0,62296.3,6.0,3612.48,430.0,0.554,28.78,0.421,1,1
275,32.0,37181.01,6.0,2620.12,408.0,0.581,14.41,,0,1
86,28.0,25755.71,7.0,2402.96,219.0,0.292,21.76,0.622,0,0
187,40.0,30058.96,7.0,2293.64,523.0,0.355,2.57,0.677,1,2
71,50.0,28418.24,12.0,2460.7,332.0,0.626,0.96,0.807,1,2
160,44.0,28789.9,10.0,2834.02,582.0,0.528,21.45,0.722,0,2
13,47.0,115613.95,8.0,5813.1,359.0,0.645,2.96,1.0,1,2
36,42.0,79899.25,8.0,4912.45,711.0,0.56,21.27,0.595,1,2
29,34.0,49550.04,8.0,3140.62,431.0,0.251,3.49,0.593,1,1
171,29.0,,7.0,3275.12,211.0,0.326,1.83,0.737,1,1
143,41.0,36384.78,3.0,2932.05,361.0,0.861,15.87,0.68,0,1
243,38.0,49357.8,11.0,3853.93,323.0,,1.94,0.943,1,2
151,42.0,41036.22,11.0,3755.31,487.0,0.645,5.88,0.694,1,2
229,46.0,33535.97,5.0,3119.41,377.0,,4.38,0.659,0,2
222,40.0,63458.72,3.0,3826.52,319.0,1.046,26.59,0.578,0,1
132,38.0,34120.36,3.0,2038.76,304.0,0.143,2.97,0.12,0,0
332,36.0,27073.73,7.0,2869.6,73.0,0.34,14.23,0.562,0,2
52,39.0,47914.38,6.0,3244.29,421.0,0.687,14.06,0.88,1,2
241,39.0,29136.65,5.0,3206.1,162.0,0.407,30.48,0.397,0,2
347,36.0,25605.59,6.0,2288.17,137.0,0.235,0.82,0.868,1,1
96,37.0,44011.71,9.0,3333.19,221.0,0.204,36.92,0.407,0,1
282,26.0,16073.8,3.0,1570.99,246.0,0.243,7.1,0.398,0,0
179,59.0,28773.79,13.0,2629.31,626.0,0.569,0.6,0.766,0,2
205,31.0,32213.02,3.0,2920.38,,0.448,5.7,0.903,1,1
124,33.0,16051.71,7.0,1445.71,632.0,0.529,7.56,0.552,0,0
42,52.0,35249.92,4.0,2509.54,278.0,0.454,12.34,1.0,1,1
90,40.0,18210.11,6.0,2240.85,340.0,0.187,3.29,0.585,1,1
287,22.0,57210.1,4.0,3224.66,151.0,0.265,11.31,1.0,1,1
207,41.0,,3.0,1841.71,107.0,0.501,2.55,0.326,0,0
137,45.0,27350.91,7.0,2798.13,241.0,0.312,5.56,0.751,1,1
27,32.0,12000.0,4.0,1228.13,102.0,0.279,5.27,0.47,0,0
361,38.0,20599.98,5.0,2074.09,639.0,0.744,2.53,0.962,0,1
142,35.0,28991.66,6.0,2304.99,107.0,0.313,0.2,0.642,1,0
255,22.0,20430.76,6.0,1072.99,77.0,0.477,0.48,0.519,0,0
329,41.0,29960.86,3.0,2571.99,208.0,0.745,9.72,0.758,0,1
5,27.0,12000.0,6.0,1482.66,687.0,0.094,23.49,0.458,1,0
257,52.0,62500.45,5.0,4010.75,510.0,0.632,8.38,0.789,1,2
330,28.0,16212.32,3.0,1266.29,88.0,0.104,0.47,0.868,0,0
101,18.0,16627.81,1.0,1082.97,,0.054,24.48,0.563,0,0
227,44.0,48841.95,4.0,3293.22,615.0,0.452,0.2,0.684,1,2
323,39.0,,7.0,2488.15,259.0,0.266,0.87,0.535,0,1
214,32.0,17037.37,3.0,1793.61,235.0,0.179,34.42,0.686,0,0
172,32.0,24063.46,2.0,2021.02,488.0,0.193,1.55,0.703,0,0
99,22.0,12000.0,5.0,1230.73,91.0,,4.77,0.492,0,0
216,27.0,27231.7,3.0,1511.7,505.0,,2.78,0.545,0,0
62,24.0,12000.0,2.0,1505.85,235.0,0.467,32.52,,0,0
48,41.0,34541.56,11.0,2503.31,443.0,0.6,2.62,0.628,0,1
33,38.0,12000.0,4.0,848.76,,0.323,4.33,0.464,0,0
268,39.0,96130.76,5.0,4540.78,332.0,0.605,5.51,0.369,1,2
201,24.0,17064.83,9.0,1959.49,541.0,0.355,0.87,0.602,0,1
328,47.0,14855.88,4.0,1614.6,425.0,0.26,4.24,0.891,0,1
28,34.0,46220.47,4.0,2896.7,355.0,0.424,16.55,0.731,0,1
289,28.0,17156.98,3.0,1695.13,152.0,0.17,37.48,0.232,0,0
231,42.0,19522.18,12.0,2622.75,241.0,0.47,1.78,0.51,0,2
261,40.0,28650.76,4.0,2394.34,365.0,0.917,0.98,0.738,0,1
163,26.0,23259.68,2.0,2196.78,574.0,0.156,25.07,0.641,0,1
345,29.0,55632.86,8.0,3574.0,339.0,0.548,20.07,0.42,1,1
139,51.0,30637.05,6.0,2444.22,189.0,0.485,3.8,0.475,0,1
63,40.0,18025.03,6.0,2592.55,175.0,0.733,3.38,0.76,0,2
136,29.0,19704.78,4.0,1455.86,552.0,0.29,16.14,0.0,0,0
129,33.0,30287.44,4.0,2245.87,149.0,0.504,8.98,0.579,0,0
9,34.0,64992.7,9.0,3668.48,187.0,0.252,7.5,,1,1
65,18.0,,4.0,1604.08,56.0,0.347,9.94,0.564,0,0
15,35.0,22164.97,7.0,1753.27,456.0,0.369,0.2,0.74,0,0
157,23.0,28645.26,7.0,2474.54,603.0,0.55,2.4,0.721,0,1
41,22.0,17395.48,3.0,1162.37,352.0,0.065,3.17,,1,0
338,46.0,51133.06,6.0,3092.1,294.0,0.566,2.21,0.839,1,2
300,25.0,32617.55,8.0,2292.59,128.0,0.662,2.66,0.886,1,0
217,21.0,17179.97,2.0,1690.74,146.0,0.14,5.32,0.141,0,0
280,60.0,22881.14,4.0,2399.56,358.0,0.298,11.18,0.483,0,2
319,34.0,29413.98,9.0,1939.08,437.0,0.498,0.38,0.302,0,0
237,29.0,21864.28,8.0,930.65,120.0,0.603,19.43,0.409,0,0
208,43.0,22271.24,3.0,1981.17,325.0,0.479,14.64,0.764,0,1
213,47.0,53595.85,7.0,3087.93,572.0,0.562,6.26,0.758,1,1
296,42.0,38900.42,5.0,2929.02,148.0,0.548,18.49,0.453,0,1
336,33.0,12000.0,3.0,1737.31,67.0,0.713,9.15,0.47,0,0
252,27.0,47867.07,4.0,3439.17,198.0,0.629,2.36,0.364,0,1
359,41.0,68166.6,9.0,4830.03,225.0,0.558,1.32,0.757,1,2
337,48.0,17805.16,10.0,2236.48,558.0,0.995,0.2,0.967,0,2
270,27.0,24309.38,7.0,1868.99,349.0,0.387,20.05,0.609,1,0
202,30.0,26162.55,3.0,1773.14,261.0,0.221,11.61,0.679,0,0
162,35.0,22970.73,5.0,2047.99,493.0,0.405,7.16,0.613,0,1
44,35.0,50053.58,9.0,3706.4,778.0,0.63,15.56,1.0,1,2
218,34.0,48282.25,10.0,3275.35,249.0,0.298,1.29,0.752,1,2
191,18.0,14018.55,6.0,1525.58,437.0,0.459,28.76,0.652,0,0
260,20.0,18453.28,3.0,1468.83,170.0,0.201,4.64,0.58,0,0
106,42.0,15679.0,2.0,1099.96,247.0,0.206,16.02,0.651,0,0
54,43.0,111520.39495608199,12.0,2656.37,664.0,0.675,7.25,0.631,1,2
2,35.0,18464.14,13.0,2286.42,460.0,0.5,2.26,0.497,0,2
50,21.0,37112.1,3.0,5975.894614665667,294.0,0.337,17.76,0.721,1,0
81,43.0,19797.61,9.0,2533.71,1122.0,0.792,6.53,1.0,0,2
206,20.0,66495.2,1.0,2864.32,398.0,0.178,2.57,0.901,1,0
35,49.0,22031.77,7.0,2698.59,614.0,0.498,13.63,1.0,1,2
264,30.0,28879.76,4.0,2789.55,,1.6584217422476684,29.49,0.279,0,1
92,51.0,16879.2,5.0,2148.09,985.0,0.69,1.43,0.77,0,2
53,51.0,47424.56,7.0,3241.62,318.0,0.452,4.46,0.729,1,2
265,48.0,19693.91,9.0,2839.87,265.0,0.307,5.16,0.778,0,2
242,48.0,58097.18,11.0,4223.81,510.0,0.684,1.79,0.839,1,2
14,23.0,22621.32,1.0,1573.8,177.0,0.56,14.22,0.417,0,0
316,29.0,,6.0,2666.79,220.0,0.541,5.61,0.443,0,1
89,44.0,39661.27,4.0,2870.59,282.0,,2.7,0.853,0,2
274,41.0,41173.89,8.0,3264.52,410.0,0.69,6.68,0.837,1,2
167,24.0,38757.91,1.0,2126.93,48.0,0.545,11.58,0.187,0,0
362,30.0,13911.14,3.0,1989.49,352.0,0.491,1.62,0.241,0,0
135,56.0,26180.97,4.0,3114.29,484.0,0.57,12.86,1.0,1,2
307,42.0,27708.27,3.0,2533.05,1065.0,0.608,17.6,0.51,0,1
354,18.0,19409.25,1.0,1091.85,187.0,0.219,11.11,0.606,1,0
320,21.0,40059.4,5.0,2207.72,168.0,0.436,35.23,0.518,1,0
244,22.0,64926.96,6.0,3564.48,114.0,0.482,3.45,0.441,1,1
55,30.0,32753.33,6.0,2545.18,131.0,0.606,0.94,0.879,1,1
51,45.0,22326.32,12.0,2884.08,839.0,0.862,0.63,0.83,0,2
175,35.0,31893.98,3.0,2321.8,,0.293,2.15,0.345,0,1
190,18.0,14568.35,6.0,1331.63,362.0,0.428,0.9,0.483,0,0
366,36.0,59664.1,3.0,3901.12,79.0,0.821,5.19,0.965,1,2
188,32.0,24914.29,4.0,2189.63,508.0,0.389,24.03,0.683,0,1
170,43.0,23204.95,10.0,2082.11,183.0,0.5,24.62,0.571,0,1
59,22.0,17409.56,6.0,1717.67,255.0,0.38,19.76,0.638,0,0
49,36.0,24042.18,5.0,1507.7,186.0,0.449,3.44,0.396,0,1
236,37.0,40163.13,4.0,3608.32,1039.0,0.377,2.1,0.679,1,2
253,39.0,67641.13,7.0,4514.69,372.0,0.502,6.68,1.0,1,2
22,33.0,17248.13,7.0,1626.74,,0.308,13.56,0.503,0,0
314,40.0,60041.01,13.0,3804.8,408.0,0.463,62.301462661793614,0.743,1,2
161,20.0,29532.73,11.0,2332.73,358.0,0.532,0.93,0.783,1,1
277,47.0,29706.02,11.0,3360.61,410.0,0.7,2.08,0.8,0,2
192,54.0,25706.29,11.0,2537.59,395.0,0.841,25.32,0.604,0,2
